i_vs	I(R_vs)/I(R_rs)
Step Information: I_sc=1m Elec=100m Rho=100m  (Run: 1/336)
2.928644564625235e-003	8.479627e-001
3.414548873833600e-003	1.154323e+000
3.981071705534971e-003	1.511425e+000
4.641588833612776e-003	1.927657e+000
5.411695265464634e-003	2.412786e+000
6.309573444801929e-003	2.978185e+000
7.356422544596409e-003	3.637095e+000
8.576958985908937e-003	4.404922e+000
9.999999999999995e-003	5.299593e+000
1.165914401179831e-002	6.341956e+000
1.359356390878525e-002	7.556249e+000
1.584893192461112e-002	8.970635e+000
1.847849797422290e-002	1.061782e+001
2.154434690031882e-002	1.253576e+001
2.511886431509578e-002	1.476848e+001
2.928644564625235e-002	1.736698e+001
3.414548873833599e-002	2.039028e+001
3.981071705534969e-002	2.390664e+001
4.641588833612775e-002	2.799483e+001
5.411695265464631e-002	3.274562e+001
6.309573444801926e-002	3.826344e+001
7.356422544596405e-002	4.466810e+001
8.576958985908932e-002	5.209673e+001
9.999999999999990e-002	6.070578e+001
1.165914401179830e-001	7.067306e+001
1.359356390878524e-001	8.219980e+001
1.584893192461112e-001	9.551253e+001
1.847849797422289e-001	1.108648e+002
2.154434690031881e-001	1.285381e+002
2.511886431509577e-001	1.488428e+002
2.928644564625232e-001	1.721167e+002
3.414548873833597e-001	1.987237e+002
3.981071705534967e-001	2.290496e+002
4.641588833612772e-001	2.634952e+002
5.411695265464629e-001	3.024677e+002
6.309573444801924e-001	3.463676e+002
7.356422544596403e-001	3.955723e+002
8.576958985908929e-001	4.504161e+002
9.999999999999986e-001	5.111665e+002
1.165914401179830e+000	5.779984e+002
1.359356390878524e+000	6.509661e+002
1.584893192461111e+000	7.299775e+002
1.847849797422288e+000	8.147720e+002
2.154434690031880e+000	9.049041e+002
2.511886431509576e+000	9.997381e+002
2.928644564625231e+000	1.098455e+003
3.414548873833596e+000	1.200075e+003
3.981071705534965e+000	1.303487e+003
4.641588833612770e+000	1.407500e+003
5.411695265464627e+000	1.510897e+003
6.309573444801921e+000	1.612487e+003
7.356422544596399e+000	1.711162e+003
8.576958985908926e+000	1.805941e+003
1.000000000000000e+001	1.896010e+003
Step Information: I_sc=2.51189m Elec=100m Rho=100m  (Run: 3/336)
1.000000000000000e-003	-6.016555e-001
1.165914401179832e-003	-5.355757e-001
1.359356390878525e-003	-4.585365e-001
1.584893192461113e-003	-3.687208e-001
1.847849797422291e-003	-2.640109e-001
2.154434690031883e-003	-1.419384e-001
2.511886431509579e-003	3.739097e-004
2.928644564625235e-003	1.662790e-001
3.414548873833600e-003	3.596844e-001
3.981071705534971e-003	5.851437e-001
4.641588833612776e-003	8.479627e-001
5.411695265464634e-003	1.154323e+000
6.309573444801929e-003	1.511425e+000
7.356422544596409e-003	1.927657e+000
8.576958985908937e-003	2.412786e+000
9.999999999999995e-003	2.978185e+000
1.165914401179831e-002	3.637095e+000
1.359356390878525e-002	4.404922e+000
1.584893192461112e-002	5.299593e+000
1.847849797422290e-002	6.341956e+000
2.154434690031882e-002	7.556249e+000
2.511886431509578e-002	8.970635e+000
2.928644564625235e-002	1.061782e+001
3.414548873833599e-002	1.253576e+001
3.981071705534969e-002	1.476848e+001
4.641588833612775e-002	1.736698e+001
5.411695265464631e-002	2.039029e+001
6.309573444801926e-002	2.390664e+001
7.356422544596405e-002	2.799483e+001
8.576958985908932e-002	3.274562e+001
9.999999999999990e-002	3.826344e+001
1.165914401179830e-001	4.466810e+001
1.359356390878524e-001	5.209673e+001
1.584893192461112e-001	6.070578e+001
1.847849797422289e-001	7.067306e+001
2.154434690031881e-001	8.219979e+001
2.511886431509577e-001	9.551253e+001
2.928644564625232e-001	1.108648e+002
3.414548873833597e-001	1.285381e+002
3.981071705534967e-001	1.488428e+002
4.641588833612772e-001	1.721167e+002
5.411695265464629e-001	1.987237e+002
6.309573444801924e-001	2.290496e+002
7.356422544596403e-001	2.634952e+002
8.576958985908929e-001	3.024677e+002
9.999999999999986e-001	3.463676e+002
1.165914401179830e+000	3.955723e+002
1.359356390878524e+000	4.504160e+002
1.584893192461111e+000	5.111665e+002
1.847849797422288e+000	5.779984e+002
2.154434690031880e+000	6.509660e+002
2.511886431509576e+000	7.299775e+002
2.928644564625231e+000	8.147721e+002
3.414548873833596e+000	9.049041e+002
3.981071705534965e+000	9.997381e+002
4.641588833612770e+000	1.098455e+003
5.411695265464627e+000	1.200074e+003
6.309573444801921e+000	1.303487e+003
7.356422544596399e+000	1.407500e+003
8.576958985908926e+000	1.510897e+003
1.000000000000000e+001	1.612487e+003
Step Information: I_sc=3.98107m Elec=100m Rho=100m  (Run: 4/336)
1.000000000000000e-003	-7.486480e-001
1.165914401179832e-003	-7.069496e-001
1.359356390878525e-003	-6.583344e-001
1.584893192461113e-003	-6.016555e-001
1.847849797422291e-003	-5.355757e-001
2.154434690031883e-003	-4.585365e-001
2.511886431509579e-003	-3.687208e-001
2.928644564625235e-003	-2.640109e-001
3.414548873833600e-003	-1.419384e-001
3.981071705534971e-003	3.739097e-004
4.641588833612776e-003	1.662790e-001
5.411695265464634e-003	3.596844e-001
6.309573444801929e-003	5.851438e-001
7.356422544596409e-003	8.479627e-001
8.576958985908937e-003	1.154323e+000
9.999999999999995e-003	1.511425e+000
1.165914401179831e-002	1.927657e+000
1.359356390878525e-002	2.412786e+000
1.584893192461112e-002	2.978185e+000
1.847849797422290e-002	3.637095e+000
2.154434690031882e-002	4.404922e+000
2.511886431509578e-002	5.299593e+000
2.928644564625235e-002	6.341957e+000
3.414548873833599e-002	7.556250e+000
3.981071705534969e-002	8.970634e+000
4.641588833612775e-002	1.061782e+001
5.411695265464631e-002	1.253576e+001
6.309573444801926e-002	1.476848e+001
7.356422544596405e-002	1.736698e+001
8.576958985908932e-002	2.039029e+001
9.999999999999990e-002	2.390664e+001
1.165914401179830e-001	2.799483e+001
1.359356390878524e-001	3.274562e+001
1.584893192461112e-001	3.826344e+001
1.847849797422289e-001	4.466810e+001
2.154434690031881e-001	5.209674e+001
2.511886431509577e-001	6.070578e+001
2.928644564625232e-001	7.067306e+001
3.414548873833597e-001	8.219980e+001
3.981071705534967e-001	9.551254e+001
4.641588833612772e-001	1.108648e+002
5.411695265464629e-001	1.285382e+002
6.309573444801924e-001	1.488428e+002
7.356422544596403e-001	1.721167e+002
8.576958985908929e-001	1.987237e+002
9.999999999999986e-001	2.290496e+002
1.165914401179830e+000	2.634952e+002
1.359356390878524e+000	3.024677e+002
1.584893192461111e+000	3.463676e+002
1.847849797422288e+000	3.955722e+002
2.154434690031880e+000	4.504160e+002
2.511886431509576e+000	5.111665e+002
2.928644564625231e+000	5.779984e+002
3.414548873833596e+000	6.509660e+002
3.981071705534965e+000	7.299776e+002
4.641588833612770e+000	8.147721e+002
5.411695265464627e+000	9.049042e+002
6.309573444801921e+000	9.997381e+002
7.356422544596399e+000	1.098455e+003
8.576958985908926e+000	1.200074e+003
1.000000000000000e+001	1.303487e+003
Step Information: I_sc=6.30957m Elec=100m Rho=100m  (Run: 5/336)
1.000000000000000e-003	-8.414022e-001
1.165914401179832e-003	-8.150903e-001
1.359356390878525e-003	-7.844135e-001
1.584893192461113e-003	-7.486479e-001
1.847849797422291e-003	-7.069496e-001
2.154434690031883e-003	-6.583344e-001
2.511886431509579e-003	-6.016555e-001
2.928644564625235e-003	-5.355757e-001
3.414548873833600e-003	-4.585365e-001
3.981071705534971e-003	-3.687208e-001
4.641588833612776e-003	-2.640109e-001
5.411695265464634e-003	-1.419384e-001
6.309573444801929e-003	3.739097e-004
7.356422544596409e-003	1.662790e-001
8.576958985908937e-003	3.596844e-001
9.999999999999995e-003	5.851438e-001
1.165914401179831e-002	8.479627e-001
1.359356390878525e-002	1.154323e+000
1.584893192461112e-002	1.511425e+000
1.847849797422290e-002	1.927657e+000
2.154434690031882e-002	2.412786e+000
2.511886431509578e-002	2.978185e+000
2.928644564625235e-002	3.637095e+000
3.414548873833599e-002	4.404922e+000
3.981071705534969e-002	5.299593e+000
4.641588833612775e-002	6.341957e+000
5.411695265464631e-002	7.556249e+000
6.309573444801926e-002	8.970635e+000
7.356422544596405e-002	1.061782e+001
8.576958985908932e-002	1.253576e+001
9.999999999999990e-002	1.476848e+001
1.165914401179830e-001	1.736698e+001
1.359356390878524e-001	2.039028e+001
1.584893192461112e-001	2.390664e+001
1.847849797422289e-001	2.799483e+001
2.154434690031881e-001	3.274562e+001
2.511886431509577e-001	3.826344e+001
2.928644564625232e-001	4.466810e+001
3.414548873833597e-001	5.209673e+001
3.981071705534967e-001	6.070578e+001
4.641588833612772e-001	7.067306e+001
5.411695265464629e-001	8.219979e+001
6.309573444801924e-001	9.551253e+001
7.356422544596403e-001	1.108648e+002
8.576958985908929e-001	1.285381e+002
9.999999999999986e-001	1.488428e+002
1.165914401179830e+000	1.721167e+002
1.359356390878524e+000	1.987237e+002
1.584893192461111e+000	2.290496e+002
1.847849797422288e+000	2.634952e+002
2.154434690031880e+000	3.024677e+002
2.511886431509576e+000	3.463676e+002
2.928644564625231e+000	3.955723e+002
3.414548873833596e+000	4.504161e+002
3.981071705534965e+000	5.111665e+002
4.641588833612770e+000	5.779984e+002
5.411695265464627e+000	6.509661e+002
6.309573444801921e+000	7.299776e+002
7.356422544596399e+000	8.147721e+002
8.576958985908926e+000	9.049042e+002
1.000000000000000e+001	9.997381e+002
Step Information: I_sc=10m Elec=100m Rho=100m  (Run: 6/336)
1.000000000000000e-003	-8.999294e-001
1.165914401179832e-003	-8.833269e-001
1.359356390878525e-003	-8.639702e-001
1.584893192461113e-003	-8.414022e-001
1.847849797422291e-003	-8.150903e-001
2.154434690031883e-003	-7.844136e-001
2.511886431509579e-003	-7.486480e-001
2.928644564625235e-003	-7.069496e-001
3.414548873833600e-003	-6.583345e-001
3.981071705534971e-003	-6.016555e-001
4.641588833612776e-003	-5.355758e-001
5.411695265464634e-003	-4.585365e-001
6.309573444801929e-003	-3.687208e-001
7.356422544596409e-003	-2.640109e-001
8.576958985908937e-003	-1.419384e-001
9.999999999999995e-003	3.739097e-004
1.165914401179831e-002	1.662790e-001
1.359356390878525e-002	3.596844e-001
1.584893192461112e-002	5.851437e-001
1.847849797422290e-002	8.479627e-001
2.154434690031882e-002	1.154323e+000
2.511886431509578e-002	1.511425e+000
2.928644564625235e-002	1.927657e+000
3.414548873833599e-002	2.412786e+000
3.981071705534969e-002	2.978185e+000
4.641588833612775e-002	3.637095e+000
5.411695265464631e-002	4.404922e+000
6.309573444801926e-002	5.299593e+000
7.356422544596405e-002	6.341956e+000
8.576958985908932e-002	7.556250e+000
9.999999999999990e-002	8.970635e+000
1.165914401179830e-001	1.061782e+001
1.359356390878524e-001	1.253576e+001
1.584893192461112e-001	1.476848e+001
1.847849797422289e-001	1.736698e+001
2.154434690031881e-001	2.039028e+001
2.511886431509577e-001	2.390664e+001
2.928644564625232e-001	2.799483e+001
3.414548873833597e-001	3.274562e+001
3.981071705534967e-001	3.826344e+001
4.641588833612772e-001	4.466810e+001
5.411695265464629e-001	5.209673e+001
6.309573444801924e-001	6.070578e+001
7.356422544596403e-001	7.067306e+001
8.576958985908929e-001	8.219980e+001
9.999999999999986e-001	9.551253e+001
1.165914401179830e+000	1.108648e+002
1.359356390878524e+000	1.285382e+002
1.584893192461111e+000	1.488428e+002
1.847849797422288e+000	1.721167e+002
2.154434690031880e+000	1.987237e+002
2.511886431509576e+000	2.290496e+002
2.928644564625231e+000	2.634952e+002
3.414548873833596e+000	3.024677e+002
3.981071705534965e+000	3.463676e+002
4.641588833612770e+000	3.955723e+002
5.411695265464627e+000	4.504161e+002
6.309573444801921e+000	5.111665e+002
7.356422544596399e+000	5.779984e+002
8.576958985908926e+000	6.509661e+002
1.000000000000000e+001	7.299776e+002
Step Information: I_sc=15.8489m Elec=100m Rho=100m  (Run: 7/336)
1.000000000000000e-003	-9.368589e-001
1.165914401179832e-003	-9.263831e-001
1.359356390878525e-003	-9.141694e-001
1.584893192461113e-003	-8.999294e-001
1.847849797422291e-003	-8.833270e-001
2.154434690031883e-003	-8.639702e-001
2.511886431509579e-003	-8.414022e-001
2.928644564625235e-003	-8.150903e-001
3.414548873833600e-003	-7.844136e-001
3.981071705534971e-003	-7.486480e-001
4.641588833612776e-003	-7.069496e-001
5.411695265464634e-003	-6.583344e-001
6.309573444801929e-003	-6.016555e-001
7.356422544596409e-003	-5.355757e-001
8.576958985908937e-003	-4.585365e-001
9.999999999999995e-003	-3.687208e-001
1.165914401179831e-002	-2.640109e-001
1.359356390878525e-002	-1.419384e-001
1.584893192461112e-002	3.739097e-004
1.847849797422290e-002	1.662790e-001
2.154434690031882e-002	3.596844e-001
2.511886431509578e-002	5.851438e-001
2.928644564625235e-002	8.479627e-001
3.414548873833599e-002	1.154323e+000
3.981071705534969e-002	1.511425e+000
4.641588833612775e-002	1.927657e+000
5.411695265464631e-002	2.412786e+000
6.309573444801926e-002	2.978185e+000
7.356422544596405e-002	3.637095e+000
8.576958985908932e-002	4.404922e+000
9.999999999999990e-002	5.299593e+000
1.165914401179830e-001	6.341956e+000
1.359356390878524e-001	7.556250e+000
1.584893192461112e-001	8.970634e+000
1.847849797422289e-001	1.061782e+001
2.154434690031881e-001	1.253576e+001
2.511886431509577e-001	1.476848e+001
2.928644564625232e-001	1.736698e+001
3.414548873833597e-001	2.039029e+001
3.981071705534967e-001	2.390664e+001
4.641588833612772e-001	2.799483e+001
5.411695265464629e-001	3.274562e+001
6.309573444801924e-001	3.826344e+001
7.356422544596403e-001	4.466810e+001
8.576958985908929e-001	5.209673e+001
9.999999999999986e-001	6.070578e+001
1.165914401179830e+000	7.067305e+001
1.359356390878524e+000	8.219980e+001
1.584893192461111e+000	9.551253e+001
1.847849797422288e+000	1.108648e+002
2.154434690031880e+000	1.285381e+002
2.511886431509576e+000	1.488428e+002
2.928644564625231e+000	1.721167e+002
3.414548873833596e+000	1.987237e+002
3.981071705534965e+000	2.290496e+002
4.641588833612770e+000	2.634952e+002
5.411695265464627e+000	3.024677e+002
6.309573444801921e+000	3.463676e+002
7.356422544596399e+000	3.955723e+002
8.576958985908926e+000	4.504161e+002
1.000000000000000e+001	5.111666e+002
Step Information: I_sc=25.1189m Elec=100m Rho=100m  (Run: 8/336)
1.000000000000000e-003	-9.601603e-001
1.165914401179832e-003	-9.535504e-001
1.359356390878525e-003	-9.458439e-001
1.584893192461113e-003	-9.368589e-001
1.847849797422291e-003	-9.263831e-001
2.154434690031883e-003	-9.141694e-001
2.511886431509579e-003	-8.999294e-001
2.928644564625235e-003	-8.833269e-001
3.414548873833600e-003	-8.639702e-001
3.981071705534971e-003	-8.414022e-001
4.641588833612776e-003	-8.150903e-001
5.411695265464634e-003	-7.844136e-001
6.309573444801929e-003	-7.486480e-001
7.356422544596409e-003	-7.069496e-001
8.576958985908937e-003	-6.583344e-001
9.999999999999995e-003	-6.016555e-001
1.165914401179831e-002	-5.355758e-001
1.359356390878525e-002	-4.585365e-001
1.584893192461112e-002	-3.687208e-001
1.847849797422290e-002	-2.640109e-001
2.154434690031882e-002	-1.419384e-001
2.511886431509578e-002	3.739097e-004
2.928644564625235e-002	1.662790e-001
3.414548873833599e-002	3.596844e-001
3.981071705534969e-002	5.851437e-001
4.641588833612775e-002	8.479627e-001
5.411695265464631e-002	1.154323e+000
6.309573444801926e-002	1.511425e+000
7.356422544596405e-002	1.927657e+000
8.576958985908932e-002	2.412786e+000
9.999999999999990e-002	2.978185e+000
1.165914401179830e-001	3.637095e+000
1.359356390878524e-001	4.404922e+000
1.584893192461112e-001	5.299593e+000
1.847849797422289e-001	6.341957e+000
2.154434690031881e-001	7.556250e+000
2.511886431509577e-001	8.970635e+000
2.928644564625232e-001	1.061782e+001
3.414548873833597e-001	1.253576e+001
3.981071705534967e-001	1.476848e+001
4.641588833612772e-001	1.736698e+001
5.411695265464629e-001	2.039028e+001
6.309573444801924e-001	2.390664e+001
7.356422544596403e-001	2.799483e+001
8.576958985908929e-001	3.274562e+001
9.999999999999986e-001	3.826344e+001
1.165914401179830e+000	4.466810e+001
1.359356390878524e+000	5.209673e+001
1.584893192461111e+000	6.070578e+001
1.847849797422288e+000	7.067306e+001
2.154434690031880e+000	8.219980e+001
2.511886431509576e+000	9.551253e+001
2.928644564625231e+000	1.108648e+002
3.414548873833596e+000	1.285382e+002
3.981071705534965e+000	1.488428e+002
4.641588833612770e+000	1.721167e+002
5.411695265464627e+000	1.987237e+002
6.309573444801921e+000	2.290496e+002
7.356422544596399e+000	2.634952e+002
8.576958985908926e+000	3.024677e+002
1.000000000000000e+001	3.463676e+002
Step Information: I_sc=39.8107m Elec=100m Rho=100m  (Run: 9/336)
1.000000000000000e-003	-9.748627e-001
1.165914401179832e-003	-9.706921e-001
1.359356390878525e-003	-9.658296e-001
1.584893192461113e-003	-9.601602e-001
1.847849797422291e-003	-9.535504e-001
2.154434690031883e-003	-9.458439e-001
2.511886431509579e-003	-9.368589e-001
2.928644564625235e-003	-9.263831e-001
3.414548873833600e-003	-9.141694e-001
3.981071705534971e-003	-8.999294e-001
4.641588833612776e-003	-8.833269e-001
5.411695265464634e-003	-8.639702e-001
6.309573444801929e-003	-8.414022e-001
7.356422544596409e-003	-8.150903e-001
8.576958985908937e-003	-7.844136e-001
9.999999999999995e-003	-7.486480e-001
1.165914401179831e-002	-7.069496e-001
1.359356390878525e-002	-6.583345e-001
1.584893192461112e-002	-6.016555e-001
1.847849797422290e-002	-5.355758e-001
2.154434690031882e-002	-4.585365e-001
2.511886431509578e-002	-3.687208e-001
2.928644564625235e-002	-2.640109e-001
3.414548873833599e-002	-1.419384e-001
3.981071705534969e-002	3.739097e-004
4.641588833612775e-002	1.662790e-001
5.411695265464631e-002	3.596844e-001
6.309573444801926e-002	5.851437e-001
7.356422544596405e-002	8.479627e-001
8.576958985908932e-002	1.154323e+000
9.999999999999990e-002	1.511425e+000
1.165914401179830e-001	1.927657e+000
1.359356390878524e-001	2.412786e+000
1.584893192461112e-001	2.978185e+000
1.847849797422289e-001	3.637095e+000
2.154434690031881e-001	4.404922e+000
2.511886431509577e-001	5.299593e+000
2.928644564625232e-001	6.341956e+000
3.414548873833597e-001	7.556250e+000
3.981071705534967e-001	8.970635e+000
4.641588833612772e-001	1.061782e+001
5.411695265464629e-001	1.253576e+001
6.309573444801924e-001	1.476848e+001
7.356422544596403e-001	1.736698e+001
8.576958985908929e-001	2.039028e+001
9.999999999999986e-001	2.390664e+001
1.165914401179830e+000	2.799483e+001
1.359356390878524e+000	3.274562e+001
1.584893192461111e+000	3.826344e+001
1.847849797422288e+000	4.466810e+001
2.154434690031880e+000	5.209673e+001
2.511886431509576e+000	6.070578e+001
2.928644564625231e+000	7.067306e+001
3.414548873833596e+000	8.219980e+001
3.981071705534965e+000	9.551253e+001
4.641588833612770e+000	1.108648e+002
5.411695265464627e+000	1.285381e+002
6.309573444801921e+000	1.488428e+002
7.356422544596399e+000	1.721167e+002
8.576958985908926e+000	1.987237e+002
1.000000000000000e+001	2.290496e+002
Step Information: I_sc=63.0957m Elec=100m Rho=100m  (Run: 10/336)
1.000000000000000e-003	-9.841394e-001
1.165914401179832e-003	-9.815078e-001
1.359356390878525e-003	-9.784398e-001
1.584893192461113e-003	-9.748627e-001
1.847849797422291e-003	-9.706921e-001
2.154434690031883e-003	-9.658296e-001
2.511886431509579e-003	-9.601603e-001
2.928644564625235e-003	-9.535504e-001
3.414548873833600e-003	-9.458439e-001
3.981071705534971e-003	-9.368588e-001
4.641588833612776e-003	-9.263831e-001
5.411695265464634e-003	-9.141694e-001
6.309573444801929e-003	-8.999294e-001
7.356422544596409e-003	-8.833269e-001
8.576958985908937e-003	-8.639702e-001
9.999999999999995e-003	-8.414022e-001
1.165914401179831e-002	-8.150903e-001
1.359356390878525e-002	-7.844136e-001
1.584893192461112e-002	-7.486480e-001
1.847849797422290e-002	-7.069496e-001
2.154434690031882e-002	-6.583345e-001
2.511886431509578e-002	-6.016555e-001
2.928644564625235e-002	-5.355758e-001
3.414548873833599e-002	-4.585365e-001
3.981071705534969e-002	-3.687208e-001
4.641588833612775e-002	-2.640109e-001
5.411695265464631e-002	-1.419384e-001
6.309573444801926e-002	3.739097e-004
7.356422544596405e-002	1.662790e-001
8.576958985908932e-002	3.596844e-001
9.999999999999990e-002	5.851438e-001
1.165914401179830e-001	8.479627e-001
1.359356390878524e-001	1.154323e+000
1.584893192461112e-001	1.511425e+000
1.847849797422289e-001	1.927657e+000
2.154434690031881e-001	2.412786e+000
2.511886431509577e-001	2.978185e+000
2.928644564625232e-001	3.637095e+000
3.414548873833597e-001	4.404922e+000
3.981071705534967e-001	5.299593e+000
4.641588833612772e-001	6.341957e+000
5.411695265464629e-001	7.556249e+000
6.309573444801924e-001	8.970634e+000
7.356422544596403e-001	1.061782e+001
8.576958985908929e-001	1.253576e+001
9.999999999999986e-001	1.476848e+001
1.165914401179830e+000	1.736698e+001
1.359356390878524e+000	2.039029e+001
1.584893192461111e+000	2.390664e+001
1.847849797422288e+000	2.799483e+001
2.154434690031880e+000	3.274562e+001
2.511886431509576e+000	3.826344e+001
2.928644564625231e+000	4.466810e+001
3.414548873833596e+000	5.209673e+001
3.981071705534965e+000	6.070578e+001
4.641588833612770e+000	7.067306e+001
5.411695265464627e+000	8.219979e+001
6.309573444801921e+000	9.551254e+001
7.356422544596399e+000	1.108648e+002
8.576958985908926e+000	1.285381e+002
1.000000000000000e+001	1.488428e+002
Step Information: I_sc=100m Elec=100m Rho=100m  (Run: 11/336)
1.000000000000000e-003	-9.899926e-001
1.165914401179832e-003	-9.883323e-001
1.359356390878525e-003	-9.863964e-001
1.584893192461113e-003	-9.841394e-001
1.847849797422291e-003	-9.815079e-001
2.154434690031883e-003	-9.784398e-001
2.511886431509579e-003	-9.748627e-001
2.928644564625235e-003	-9.706920e-001
3.414548873833600e-003	-9.658296e-001
3.981071705534971e-003	-9.601602e-001
4.641588833612776e-003	-9.535505e-001
5.411695265464634e-003	-9.458439e-001
6.309573444801929e-003	-9.368588e-001
7.356422544596409e-003	-9.263831e-001
8.576958985908937e-003	-9.141694e-001
9.999999999999995e-003	-8.999293e-001
1.165914401179831e-002	-8.833269e-001
1.359356390878525e-002	-8.639702e-001
1.584893192461112e-002	-8.414022e-001
1.847849797422290e-002	-8.150903e-001
2.154434690031882e-002	-7.844136e-001
2.511886431509578e-002	-7.486480e-001
2.928644564625235e-002	-7.069496e-001
3.414548873833599e-002	-6.583344e-001
3.981071705534969e-002	-6.016555e-001
4.641588833612775e-002	-5.355758e-001
5.411695265464631e-002	-4.585365e-001
6.309573444801926e-002	-3.687208e-001
7.356422544596405e-002	-2.640109e-001
8.576958985908932e-002	-1.419384e-001
9.999999999999990e-002	3.739098e-004
1.165914401179830e-001	1.662790e-001
1.359356390878524e-001	3.596844e-001
1.584893192461112e-001	5.851438e-001
1.847849797422289e-001	8.479627e-001
2.154434690031881e-001	1.154323e+000
2.511886431509577e-001	1.511425e+000
2.928644564625232e-001	1.927657e+000
3.414548873833597e-001	2.412786e+000
3.981071705534967e-001	2.978185e+000
4.641588833612772e-001	3.637095e+000
5.411695265464629e-001	4.404922e+000
6.309573444801924e-001	5.299593e+000
7.356422544596403e-001	6.341957e+000
8.576958985908929e-001	7.556249e+000
9.999999999999986e-001	8.970634e+000
1.165914401179830e+000	1.061782e+001
1.359356390878524e+000	1.253576e+001
1.584893192461111e+000	1.476848e+001
1.847849797422288e+000	1.736698e+001
2.154434690031880e+000	2.039029e+001
2.511886431509576e+000	2.390664e+001
2.928644564625231e+000	2.799483e+001
3.414548873833596e+000	3.274562e+001
3.981071705534965e+000	3.826344e+001
4.641588833612770e+000	4.466810e+001
5.411695265464627e+000	5.209673e+001
6.309573444801921e+000	6.070578e+001
7.356422544596399e+000	7.067306e+001
8.576958985908926e+000	8.219980e+001
1.000000000000000e+001	9.551253e+001
Step Information: I_sc=158.489m Elec=100m Rho=100m  (Run: 12/336)
1.000000000000000e-003	-9.936857e-001
1.165914401179832e-003	-9.926381e-001
1.359356390878525e-003	-9.914167e-001
1.584893192461113e-003	-9.899925e-001
1.847849797422291e-003	-9.883323e-001
2.154434690031883e-003	-9.863964e-001
2.511886431509579e-003	-9.841394e-001
2.928644564625235e-003	-9.815079e-001
3.414548873833600e-003	-9.784398e-001
3.981071705534971e-003	-9.748627e-001
4.641588833612776e-003	-9.706922e-001
5.411695265464634e-003	-9.658296e-001
6.309573444801929e-003	-9.601602e-001
7.356422544596409e-003	-9.535503e-001
8.576958985908937e-003	-9.458439e-001
9.999999999999995e-003	-9.368588e-001
1.165914401179831e-002	-9.263831e-001
1.359356390878525e-002	-9.141694e-001
1.584893192461112e-002	-8.999294e-001
1.847849797422290e-002	-8.833269e-001
2.154434690031882e-002	-8.639701e-001
2.511886431509578e-002	-8.414022e-001
2.928644564625235e-002	-8.150903e-001
3.414548873833599e-002	-7.844136e-001
3.981071705534969e-002	-7.486480e-001
4.641588833612775e-002	-7.069496e-001
5.411695265464631e-002	-6.583344e-001
6.309573444801926e-002	-6.016555e-001
